cluster,keyword,monthly_volume,difficulty,cpc_usd,competition,opportunity
G - Adjacent tools and category,redx,60500,26.0,5.34,5,1680.6
G - Adjacent tools and category,follow up boss,60500,42.0,5.75,22,1163.5
F - Personas and roles,real estate agent training,14800,13.0,6.19,3,643.5
G - Adjacent tools and category,mojo dialer,9900,11.0,9.25,59,471.4
"H - Competitors, brand, and feature",sayso,8100,4.0,1.15,21,578.6
G - Adjacent tools and category,vulcan7,5400,13.0,1.93,45,234.8
G - Adjacent tools and category,real estate crm,5400,40.0,38.06,32,108.0
G - Adjacent tools and category,real estate lead generation,3600,16.0,43.78,45,138.5
G - Adjacent tools and category,batchdialer,1900,9.0,7.86,63,100.0
G - Adjacent tools and category,best real estate crm,1600,8.0,43.25,46,88.9
G - Adjacent tools and category,crm for realtors,1600,22.0,41.74,31,50.0
G - Adjacent tools and category,how to generate real estate leads,1000,9.0,41.71,44,52.6
F - Personas and roles,how to get started in real estate,1000,25.0,6.65,42,28.6
F - Personas and roles,coaching real estate agents,720,20.0,17.74,4,24.0
C - Scripts and lead types,expired listings,590,0.0,11.45,56,53.6
A - Product category / software,conversation intelligence software,590,6.0,27.24,14,36.9
G - Adjacent tools and category,real estate lead generation companies,590,29.0,51.71,41,15.1
G - Adjacent tools and category,ricochet360,480,18.0,19.94,43,17.1
G - Adjacent tools and category,ai for real estate agents,480,30.0,21.86,44,12.0
G - Adjacent tools and category,lofty real estate,480,61.0,2.43,26,6.8
B - Cold calling / prospecting,real estate cold calling,390,0.0,25.86,39,35.5
B - Cold calling / prospecting,real estate cold call,390,0.0,25.86,39,35.5
C - Scripts and lead types,real estate cold calling scripts,390,0.0,5.6,18,35.5
F - Personas and roles,real estate isa,390,0.0,18.93,27,35.5
B - Cold calling / prospecting,cold calling real estate,390,3.0,25.86,39,30.0
C - Scripts and lead types,cold calling scripts real estate,390,5.0,5.6,18,26.0
F - Personas and roles,isa real estate,390,6.0,18.93,27,24.4
C - Scripts and lead types,real estate cold call script,390,8.0,5.6,18,21.7
A - Product category / software,ai sales coaching,390,14.0,39.55,48,16.2
A - Product category / software,real estate ai tools,320,20.0,20.51,52,10.7
"H - Competitors, brand, and feature",shilo ai,320,,35.61,22,5.3
B - Cold calling / prospecting,prospecting in real estate,260,0.0,20.11,26,23.6
C - Scripts and lead types,expired listing scripts,260,0.0,5.67,33,23.6
C - Scripts and lead types,expired listing script,260,0.0,5.67,33,23.6
B - Cold calling / prospecting,real estate prospecting,260,2.0,20.11,26,21.7
"H - Competitors, brand, and feature",ai sales training,260,9.0,39.14,60,13.7
A - Product category / software,ai tools for real estate agents,260,25.0,12.57,18,7.4
C - Scripts and lead types,real estate scripts,210,1.0,5.2,20,19.1
C - Scripts and lead types,circle prospecting,210,0.0,20.97,38,19.1
C - Scripts and lead types,realtor scripts,210,3.0,5.2,20,16.2
G - Adjacent tools and category,redx real estate,210,17.0,9.78,63,7.8
F - Personas and roles,new real estate agent tips,170,0.0,4.01,16,15.5
G - Adjacent tools and category,real estate auto dialer,170,0.0,60.79,23,15.5
"H - Competitors, brand, and feature",maverickre,170,0.0,5.85,59,15.5
F - Personas and roles,tips for new real estate agents,170,2.0,4.01,16,14.2
A - Product category / software,cold calling software,170,8.0,60.06,25,9.4
G - Adjacent tools and category,real estate dialer,170,9.0,51.29,59,8.9
E - Call skills and conversion,how to get listings,140,0.0,20.57,17,12.7
E - Call skills and conversion,how to get more listings real estate,140,0.0,38.65,12,12.7
"H - Competitors, brand, and feature",maverick re,140,,5.89,55,2.3
C - Scripts and lead types,how to find expired listings,110,0.0,9.17,58,10.0
C - Scripts and lead types,geographic farming real estate,110,0.0,5.93,29,10.0
F - Personas and roles,inside sales agent real estate,110,0.0,20.4,19,10.0
F - Personas and roles,real estate inside sales agent,110,0.0,20.4,19,10.0
F - Personas and roles,real estate sales training,110,32.0,5.72,29,2.6
C - Scripts and lead types,door knocking scripts real estate,90,0.0,20.07,8,8.2
